name,theme,poiLat,poiLon,poiID
Beppu Traditional Bamboo Crafts Centre,attractions,33.29805129999999,131.4849434,1
Onsen Hells,attractions,33.3158833,131.4696745,2
Oni-yama Jigoku,attractions,33.3159861,131.4732582,3
Tatsumaki Jigoku,attractions,33.32714079999999,131.4794006,4
Beppu Tower,attractions,33.2817713,131.5059174,5
Gyōza Kogetsu,restaurants,33.2790541,131.5046334,6
Enma,restaurants,33.3147301,131.4773158,7
Tomonaga Panya,restaurants,33.2745879,131.504148,8
Rokusei,restaurants,33.27242499999999,131.5062617,9
Toyotsune Honten,restaurants,33.279755,131.5070402,10
Toyotsune Beppu Ekimae-ten,restaurants,33.2802891,131.5019099,11
Basara House,nightlife,33.28188979999999,131.5030129,12
You Me Town,shopping,33.2762149,131.5075326,13
Oita Made Shop,shopping,33.2772279,131.5027109,14
