name,poiCat,poiLat,poiLon,poiID
Hakata Machiya Furusato-kan,attractions,33.5937281,130.411474,1
Fukuoka Asian Art Museum,attractions,33.59518200000001,130.4058401,2
Ōhori-kōen Japanese Garden,attractions,33.5825662,130.3787844,3
Rakusuien,attractions,33.5868767,130.4134685,4
Shikanoshima,attractions,33.6660352,130.3027856,5
Tōchō-ji,attractions,33.59494980000001,130.4143877,6
Shōfuku-ji,attractions,33.597228,130.4144442,7
Kihinkan,attractions,33.5916974,130.4043575,8
Fukuoka City Museum,attractions,33.58978599999999,130.353064,9
Fukuoka-jō &amp; Ōhori-kōen,attractions,33.5864914,130.3762303,10
Nokonoshima,attractions,33.6222216,130.30631,11
Fukuoka Tower,attractions,33.5932846,130.35151,12
Tenjin Chūō-kōen,attractions,33.5942949,130.4000461,13
Nokonoshima Island Park,attractions,33.63134699999999,130.3017019,14
Akarenga Bunka-kan,attractions,33.5931523,130.4018844,15
Fukuoka Yafuoku! Dome,attractions,33.5953942,130.3621232,16
Hakatarou,restaurants,33.586474,130.39676,17
Zauo,restaurants,33.629023,130.226851,18
Umeyama Teppei Shokudō,restaurants,33.590012,130.4141662,19
Fish Man,restaurants,33.5843858,130.3995851,20
Rāmen Stadium,restaurants,33.5892333,130.4112139,21
Curry Honpo,restaurants,33.5932109,130.4092252,22
Taigen Shokudō,restaurants,33.591182,130.3713543,23
Sushikō Honten,restaurants,33.5832545,130.402888,24
Rāmen Jinanbō,restaurants,33.5904125,130.4176713,25
Kyūshū Bashō Sumo Tournament,entertainment,33.6028789,130.4013103,26
Citadel,nightlife,33.5868263,130.3928343,27
Oishii Kōri-ya,nightlife,33.5954312,130.4083522,28
Stereo Coffee,nightlife,33.5857611,130.4046167,29
Morris' Black Sheep,nightlife,33.58817459999999,130.3943394,30
CC Cafe,nightlife,33.5807797,130.4049591,31
Mitsubachi,nightlife,33.5896388,130.4079079,32
Hakata Japan,shopping,33.5903415,130.4414465,33
Mandarake,shopping,33.5901747,130.3937289,34
Daimaru Tenjin,shopping,33.5886461,130.4011817,35
mina tenjin,shopping,33.5927599,130.3985129,36
